date,system:index,NDVI,Rural_LST,UHI,Urban_LST,.geo,month,year,day_of_year,week,LST_diff,UHI_lag1,UHI_lag4,UHI_rolling4,month_sin,month_cos,doy_sin,doy_cos,time_idx,UHI_trend,UHI_detrended
2016-09-08,53,0.2322598865862012,13.173535409818088,-5.522913223388224,7.650622186429864,"{""type"":""MultiPoint"",""coordinates"":[]}",9,2016,252,36,-5.522913223388224,0.03648972787427157,7.746698009774057,-0.5564157933590788,-1.0,-1.8369701987210297e-16,-0.9307239310379793,-0.3657225234972692,49.0,3.1906990700574327,-8.713612293445657
2016-10-06,54,0.3245432843837944,30.65988688820212,-1.4842669988471613,29.175619889354955,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2016,280,40,-1.4842669988471648,-5.522913223388224,2.8536437307858664,-1.6408934757673357,-0.8660254037844386,0.5000000000000001,-0.994217906893952,0.10738134666416306,50.0,3.19402539845515,-4.678292397302311
2016-10-13,55,0.38462747198510117,36.21899637836107,1.9244129344199785,32.07173082172865,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2016,287,41,-4.147265556632419,-1.4842669988471613,0.4071165912917713,-1.2615693899852838,-0.8660254037844386,0.5000000000000001,-0.9741004551724206,0.22611568550828803,51.0,3.1973517268528675,-1.272938792432889
2016-10-20,56,0.444711659586408,29.634748886415235,5.333092867687117,34.96784175410235,"{""type"":""MultiPoint"",""coordinates"":[]}",10,2016,294,42,5.333092867687117,1.9244129344199785,0.03648972787427157,0.0625813949679277,-0.8660254037844386,0.5000000000000001,-0.9398560579418953,0.341570769167856,52.0,3.200678055250585,2.1324148124365325
2016-11-03,57,0.4160900061565636,35.33538992582545,5.169172663058803,34.9807297478315,"{""type"":""MultiPoint"",""coordinates"":[]}",11,2016,308,44,-0.35466017799395644,5.333092867687117,-5.522913223388224,2.7356028665796845,-0.5000000000000004,0.8660254037844384,-0.8311706263658079,0.5560174366570446,53.0,3.2040043836483023,1.9651682794105008
2016-11-10,58,0.4017791794416414,29.899961183951422,5.087212560744646,34.98717374469607,"{""type"":""MultiPoint"",""coordinates"":[]}",11,2016,315,45,5.08721256074465,5.169172663058803,-1.4842669988471613,4.3784727564776365,-0.5000000000000004,0.8660254037844384,-0.7583058084785625,0.6518989958787125,54.0,3.2073307120460197,1.8798818486986266
2016-11-17,59,0.39940303789976234,35.656290404275204,4.957435708824207,35.15774812380944,"{""type"":""MultiPoint"",""coordinates"":[]}",11,2016,322,46,-0.4985422804657631,5.087212560744646,1.9244129344199785,5.136728450078694,-0.5000000000000004,0.8660254037844384,-0.6744436188329457,0.7383263540031063,55.0,3.210657040443737,1.7467786683804696
2016-11-24,60,0.3970268963578833,30.50066364601904,4.827658856903767,35.32832250292281,"{""type"":""MultiPoint"",""coordinates"":[]}",11,2016,329,47,4.827658856903771,4.957435708824207,5.333092867687117,5.010369947382856,-0.5000000000000004,0.8660254037844384,-0.5808002734538013,0.8140460935082175,56.0,3.2139833688414545,1.6136754880623125
2016-12-01,61,0.385296549241461,35.47295542496347,4.462160044155519,34.860796291425714,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2016,336,48,-0.6121591335377587,4.827658856903767,5.169172663058803,4.833616792657035,-2.4492935982947064e-16,1.0,-0.4787338401157883,0.8779600847008883,57.0,3.217309697239172,1.2448503469163472
2016-12-08,62,0.3735662021250387,30.29660884852134,4.096661231407271,34.39327007992861,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2016,343,49,4.096661231407271,4.462160044155519,5.087212560744646,4.5859789603226915,-2.4492935982947064e-16,1.0,-0.3697245428906732,0.9291414114031743,58.0,3.2206360256368893,0.8760252057703819
2016-12-22,63,0.3557978138957001,34.79559045172252,3.5608043118738864,33.19803527927977,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2016,357,51,-1.5975551724427461,4.096661231407271,4.957435708824207,4.236821111085112,-2.4492935982947064e-16,1.0,-0.13727877211326517,0.9905324521322227,59.0,3.2239623540346067,0.3368419578392796
2016-12-29,64,0.3469136197810308,29.307542026848157,3.292875852107194,32.60041787895535,"{""type"":""MultiPoint"",""coordinates"":[]}",12,2016,364,52,3.2928758521071906,3.5608043118738864,4.827658856903767,3.853125359885968,-2.4492935982947064e-16,1.0,-0.01721335615583528,0.9998518392091162,60.0,3.227288682432324,0.06558716967487
2017-01-05,65,0.3186660841235992,31.269994357100625,2.935451217414892,31.29400099914153,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2017,5,1,0.024006642040905746,3.292875852107194,4.462160044155519,3.4714481532008112,0.49999999999999994,0.8660254037844387,0.08596479873744647,0.9962981749346078,61.0,3.2306150108300415,-0.29516379341514964
2017-01-12,66,0.2904185484661676,27.40955753660512,2.5780265827225897,29.98758411932771,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2017,12,2,2.5780265827225897,2.935451217414892,4.096661231407271,3.0917894910296404,0.49999999999999994,0.8660254037844387,0.2051044998686192,0.9787400799669153,62.0,3.2339413392277594,-0.6559147565051697
2017-01-19,67,0.296247224727091,37.8562117485463,3.337463311241857,32.175712127332815,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2017,19,3,-5.680499621213485,2.5780265827225897,3.5608043118738864,3.035954240871633,0.49999999999999994,0.8660254037844387,0.3212696616923644,0.9469877530760753,63.0,3.237267667625477,0.10019564361638
2017-01-26,68,0.3020759009880144,30.266940095576796,4.096900039761124,34.36384013533792,"{""type"":""MultiPoint"",""coordinates"":[]}",1,2017,26,4,4.09690003976112,3.337463311241857,3.292875852107194,3.2369602877851156,0.49999999999999994,0.8660254037844387,0.4327755925504312,0.901501684131884,64.0,3.240593996023194,0.8563060437379297
2017-02-02,69,0.29507101326647667,35.86343757272628,4.440776563845979,35.61133936561986,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2017,33,5,-0.25209820710642106,4.096900039761124,2.935451217414892,3.6132916243928874,0.8660254037844386,0.5000000000000001,0.5380051715382996,0.8429415373547828,65.0,3.2439203244209116,1.1968562394250677
2017-02-09,70,0.288066125544939,32.07418550797097,4.784653087930835,36.8588385959018,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2017,40,6,4.784653087930835,4.440776563845979,2.5780265827225897,4.164948250694948,0.8660254037844386,0.5000000000000001,0.6354323008901774,0.7721565844991642,66.0,3.247246652818629,1.5374064351122056
2017-02-23,71,0.29418298573916346,43.38048545224832,4.507677534183358,37.53821444779194,"{""type"":""MultiPoint"",""coordinates"":[]}",2,2017,54,8,-5.842271004456386,4.784653087930835,3.337463311241857,4.457501806430324,0.8660254037844386,0.5000000000000001,0.8013610881746766,0.5981809144059165,67.0,3.2505729812163464,1.2571045529670117
2017-03-02,72,0.2972414158362757,33.50871261642739,4.36918975730962,37.87790237373701,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2017,61,9,4.36918975730962,4.507677534183358,4.096900039761124,4.525574235817448,1.0,6.123233995736766e-17,0.8674563547295969,0.49751328890718066,68.0,3.253899309614064,1.115290447695556
2017-03-09,73,0.3056237198010956,39.54446601365628,4.689794450338095,39.420198141994504,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2017,68,10,-0.12426787166177888,4.36918975730962,4.440776563845979,4.587828707440477,1.0,6.123233995736766e-17,0.9209712877166346,0.38963044953078796,69.0,3.257225638011781,1.4325688123263136
2017-03-16,74,0.3140060237659154,35.95209476688544,5.01039914336657,40.96249391025201,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2017,75,11,5.01039914336657,4.689794450338095,4.784653087930835,4.644265221299411,1.0,6.123233995736766e-17,0.9611297838723007,0.27609697309746883,70.0,3.2605519664094986,1.7498471769570711
2017-03-23,75,0.31621802977021607,48.7049801253529,4.624506242248227,40.56612407177907,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2017,82,12,-8.138856053573825,5.01039914336657,4.507677534183358,4.673472398315628,1.0,6.123233995736766e-17,0.9873494423939864,0.15855938510313475,71.0,3.263878294807216,1.360627947441011
2017-03-30,76,0.3184300357745168,35.93114089217625,4.238613341129884,40.169754233306136,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2017,89,13,4.238613341129884,4.624506242248227,4.36918975730962,4.640828294270694,1.0,6.123233995736766e-17,0.9992500112396835,0.03872228089217446,72.0,3.2672046232049334,0.9714087179249509
2017-04-13,77,0.3102286665094411,49.00879978640622,3.7775634439764594,40.714933710154064,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2017,103,15,-8.293866076252158,4.238613341129884,4.689794450338095,4.412770542680285,0.8660254037844387,-0.4999999999999998,0.9796136916454901,-0.20089055513063506,73.0,3.270530951602651,0.5070324923738085
2017-04-20,78,0.3061279818769032,37.44048495317829,3.5470384953997467,40.98752344857803,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2017,110,16,3.5470384953997396,3.7775634439764594,5.01039914336657,4.046930380688579,0.8660254037844387,-0.4999999999999998,0.9483615800121715,-0.3171912885891061,74.0,3.2738572800003682,0.27318121539937845
